sep=\t
Module Resource Usage Distribution Estimates
Generated at: Nov 12, 2024 16:54:51

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
       +bram_u2:bram_wrapper_fifo_bc08b398162e498eaa40980c1f3d5cf6	      57(0)	       0(0)	      13(0)	      29(0)	     0(0)	     1(0)	     0(0)	
        +u_efx_fifo_top:efx_fifo_top_bc08b398162e498eaa40980c1f3d5cf6_renamed_due_excessive_length_3	      57(0)	       0(0)	      13(0)	      29(0)	     0(0)	     1(0)	     0(0)	
         +xefx_fifo_ram:efx_fifo_ram_bc08b398162e498eaa40980c1f3d5cf6(FAMILY="TITANIUM",WR_DEPTH=64,RD_DEPTH=64,WDATA_WIDTH=1,RDATA_WIDTH=1,WADDR_WIDTH=6,RADDR_WIDTH=6,RAM_MUX_RATIO=1)	       1(1)	       0(0)	       0(0)	       1(1)	     0(0)	     1(1)	     0(0)	
         +xefx_fifo_ctl:efx_fifo_ctl_bc08b398162e498eaa40980c1f3d5cf6_renamed_due_excessive_length_4	     56(28)	       0(0)	     13(13)	     28(10)	     0(0)	     0(0)	     0(0)	
          +async_clk.xrd2wr_bin2gray:efx_fifo_bin2gray_bc08b398162e498eaa40980c1f3d5cf6(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(6)	     0(0)	     0(0)	     0(0)	
          +async_clk.xrd2wr_addr_sync:efx_asyncreg_bc08b398162e498eaa40980c1f3d5cf6(WIDTH=7,ACTIVE_LOW=0)	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
          +async_clk.wr2rd_bin2gray:efx_fifo_bin2gray_bc08b398162e498eaa40980c1f3d5cf6(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(6)	     0(0)	     0(0)	     0(0)	
          +async_clk.wr2rd_addr_sync:efx_asyncreg_bc08b398162e498eaa40980c1f3d5cf6(WIDTH=7,ACTIVE_LOW=0)	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
       +bram_u1:bram_wrapper_fifo_bc08b398162e498eaa40980c1f3d5cf6	      57(0)	       0(0)	      13(0)	      29(0)	     0(0)	     1(0)	     0(0)	
        +u_efx_fifo_top:efx_fifo_top_bc08b398162e498eaa40980c1f3d5cf6_renamed_due_excessive_length_3	      57(0)	       0(0)	      13(0)	      29(0)	     0(0)	     1(0)	     0(0)	
         +xefx_fifo_ram:efx_fifo_ram_bc08b398162e498eaa40980c1f3d5cf6(FAMILY="TITANIUM",WR_DEPTH=64,RD_DEPTH=64,WDATA_WIDTH=1,RDATA_WIDTH=1,WADDR_WIDTH=6,RADDR_WIDTH=6,RAM_MUX_RATIO=1)	       1(1)	       0(0)	       0(0)	       1(1)	     0(0)	     1(1)	     0(0)	
         +xefx_fifo_ctl:efx_fifo_ctl_bc08b398162e498eaa40980c1f3d5cf6_renamed_due_excessive_length_4	     56(28)	       0(0)	     13(13)	     28(10)	     0(0)	     0(0)	     0(0)	
          +async_clk.xrd2wr_bin2gray:efx_fifo_bin2gray_bc08b398162e498eaa40980c1f3d5cf6(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(6)	     0(0)	     0(0)	     0(0)	
          +async_clk.xrd2wr_addr_sync:efx_asyncreg_bc08b398162e498eaa40980c1f3d5cf6(WIDTH=7,ACTIVE_LOW=0)	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
          +async_clk.wr2rd_bin2gray:efx_fifo_bin2gray_bc08b398162e498eaa40980c1f3d5cf6(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(6)	     0(0)	     0(0)	     0(0)	
          +async_clk.wr2rd_addr_sync:efx_asyncreg_bc08b398162e498eaa40980c1f3d5cf6(WIDTH=7,ACTIVE_LOW=0)	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
       +bram_u0:bram_wrapper_fifo_bc08b398162e498eaa40980c1f3d5cf6	      63(0)	       0(0)	      13(0)	      30(0)	     0(0)	     1(0)	     0(0)	
        +u_efx_fifo_top:efx_fifo_top_bc08b398162e498eaa40980c1f3d5cf6_renamed_due_excessive_length_3	      63(0)	       0(0)	      13(0)	      30(0)	     0(0)	     1(0)	     0(0)	
         +xefx_fifo_ram:efx_fifo_ram_bc08b398162e498eaa40980c1f3d5cf6(FAMILY="TITANIUM",WR_DEPTH=64,RD_DEPTH=64,WDATA_WIDTH=1,RDATA_WIDTH=1,WADDR_WIDTH=6,RADDR_WIDTH=6,RAM_MUX_RATIO=1)	       7(7)	       0(0)	       0(0)	       2(2)	     0(0)	     1(1)	     0(0)	
         +xefx_fifo_ctl:efx_fifo_ctl_bc08b398162e498eaa40980c1f3d5cf6_renamed_due_excessive_length_4	     56(28)	       0(0)	     13(13)	     28(10)	     0(0)	     0(0)	     0(0)	
          +async_clk.xrd2wr_bin2gray:efx_fifo_bin2gray_bc08b398162e498eaa40980c1f3d5cf6(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(6)	     0(0)	     0(0)	     0(0)	
          +async_clk.xrd2wr_addr_sync:efx_asyncreg_bc08b398162e498eaa40980c1f3d5cf6(WIDTH=7,ACTIVE_LOW=0)	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
          +async_clk.wr2rd_bin2gray:efx_fifo_bin2gray_bc08b398162e498eaa40980c1f3d5cf6(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(6)	     0(0)	     0(0)	     0(0)	
          +async_clk.wr2rd_addr_sync:efx_asyncreg_bc08b398162e498eaa40980c1f3d5cf6(WIDTH=7,ACTIVE_LOW=0)	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
       +map_ram:user_dual_port_ram_bc08b398162e498eaa40980c1f3d5cf6(DATA_WIDTH=72,OUTPUT_REG="FALSE",RAM_INIT_FILE="ddr3_controller.bin")	       0(0)	       0(0)	       0(0)	       6(6)	     0(0)	     4(4)	     0(0)	
     +rst_top0:reset_ctrl_bc08b398162e498eaa40980c1f3d5cf6(NUM_RST=2,CYCLE=5,IN_RST_ACTIVE=2'b0,OUT_RST_ACTIVE=2'b0)	       2(0)	       2(0)	       0(0)	       1(0)	     0(0)	     0(0)	     0(0)	
      +genblk1[0].genblk1.genblk1.inst_sysclk_rstn:reset_sub_bc08b398162e498eaa40980c1f3d5cf6(OUT_RST_ACTIVE="LOW",CYCLE=5)	       1(1)	       1(1)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
      +genblk1[1].genblk1.genblk1.inst_sysclk_rstn:reset_sub_bc08b398162e498eaa40980c1f3d5cf6(OUT_RST_ACTIVE="LOW",CYCLE=5)	       1(1)	       1(1)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +phase_u0:phase_shift_bc08b398162e498eaa40980c1f3d5cf6 	     10(10)	       0(0)	       0(0)	     11(11)	     0(0)	     0(0)	     0(0)	
 +u_rgb2dvi:rgb2dvi(ENABLE_OSERDES=0)                       	      45(0)	       0(0)	      81(0)	      76(0)	     0(0)	     0(0)	     0(0)	
  +enc_0:tmds_channel                                       	     15(15)	       0(0)	     27(27)	     26(26)	     0(0)	     0(0)	     0(0)	
  +enc_1:tmds_channel                                       	     15(15)	       0(0)	     27(27)	     25(25)	     0(0)	     0(0)	     0(0)	
  +enc_2:tmds_channel                                       	     15(15)	       0(0)	     27(27)	     25(25)	     0(0)	     0(0)	     0(0)	
 +u_lcd_driver:lcd_driver                                   	     26(26)	       0(0)	     22(22)	     90(90)	     0(0)	     0(0)	     0(0)	
 +key_all_ctrl_inist:key_all_ctrl                           	     35(35)	       0(0)	     31(31)	     24(24)	     0(0)	     0(0)	     0(0)	
 +u_UART_IF:UART_IF(CLK_FRAC=1488,BAUD=500000,CHECK_BIT="none")	      52(0)	       0(0)	      20(0)	      27(0)	     0(0)	     0(0)	     0(0)	
  +u_UART_TX:UART_TX(CLK_FRAC=1488,BAUD=500000)             	     20(20)	       0(0)	     10(10)	       8(8)	     0(0)	     0(0)	     0(0)	
  +u_UART_RX:UART_RX(CLK_FRAC=1488,BAUD=500000)             	     32(32)	       0(0)	     10(10)	     19(19)	     0(0)	     0(0)	     0(0)	
 +u_UART_DATA_WCTL:UART_DATA_WCTL                           	    104(88)	       0(0)	     75(55)	     66(66)	     0(0)	     8(0)	     0(0)	
  +u_WBUF:SYNC_BBUF_32x256_128x64                           	      16(0)	       0(0)	      20(0)	       0(0)	     0(0)	     8(0)	     0(0)	
   +u_efx_fifo_top:efx_fifo_top_2c19a540c4674c5eb55c8246f0c3a2ee_renamed_due_excessive_length_5	      16(0)	       0(0)	      20(0)	       0(0)	     0(0)	     8(0)	     0(0)	
    +genblk2.efx_resetsync_a_rst:efx_resetsync_2c19a540c4674c5eb55c8246f0c3a2ee(ACTIVE_LOW=0)	       2(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +active_high.efx_resetsync_active_high:efx_asyncreg_2c19a540c4674c5eb55c8246f0c3a2ee(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
    +xefx_fifo_ram:efx_fifo_ram_2c19a540c4674c5eb55c8246f0c3a2ee(FAMILY="TITANIUM",WR_DEPTH=256,RD_DEPTH=64,WDATA_WIDTH=32,RDATA_WIDTH=128,WADDR_WIDTH=8,RADDR_WIDTH=6,OUTPUT_REG=0,ENDIANESS=1)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     8(8)	     0(0)	
    +xefx_fifo_ctl:efx_fifo_ctl_2c19a540c4674c5eb55c8246f0c3a2ee_renamed_due_excessive_length_6	     14(14)	       0(0)	     20(20)	       0(0)	     0(0)	     0(0)	     0(0)	
 +u_IMG_RAM_TOP:IMG_RAM_TOP                                 	     477(0)	       0(0)	     169(0)	     191(0)	     0(0)	    31(0)	     2(0)	
  +u_IMG_H_RAM:IMG_H_RAM                                    	   125(125)	       0(0)	     74(74)	   102(102)	     0(0)	     4(0)	     2(2)	
   +u_BRAM_16x2048:BRAM_16x2048                             	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
    +u_efx_bram:efx_bram_c6ad06d4bb2e4a35bdb0888be3176e40_renamed_due_excessive_length_7	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
     +genblk1.sdpram_inst:efx_simple_dual_port_ram_c6ad06d4bb2e4a35bdb0888be3176e40_renamed_due_excessive_length_8	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
      +brams:bram_wrapper_mwm_c6ad06d4bb2e4a35bdb0888be3176e40_renamed_due_excessive_length_9	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
       +scan_row.row[0].column[0].bram:bram_primitive_c6ad06d4bb2e4a35bdb0888be3176e40_renamed_due_excessive_length_10	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
       +scan_row.row[0].column[1].bram:bram_primitive_c6ad06d4bb2e4a35bdb0888be3176e40_renamed_due_excessive_length_11	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
       +scan_row.row[0].column[2].bram:bram_primitive_c6ad06d4bb2e4a35bdb0888be3176e40_renamed_due_excessive_length_12	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
       +scan_row.row[0].column[3].bram:bram_primitive_c6ad06d4bb2e4a35bdb0888be3176e40_renamed_due_excessive_length_13	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
  +u_IMG_RCTL:IMG_RCTL                                      	    118(58)	       0(0)	     66(19)	     55(40)	     0(0)	     3(0)	     0(0)	
   +u_FIX_H_BUF:SYNC_DBUF_16x32_16x32                       	      20(0)	       0(0)	      18(0)	       5(0)	     0(0)	     1(0)	     0(0)	
    +u_efx_fifo_top:efx_fifo_top_70ac10c417bf46339876e239e3725f87_renamed_due_excessive_length_14	      20(0)	       0(0)	      18(0)	       5(0)	     0(0)	     1(0)	     0(0)	
     +genblk2.efx_resetsync_a_rst:efx_resetsync_70ac10c417bf46339876e239e3725f87(ACTIVE_LOW=0)	       2(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
      +active_high.efx_resetsync_active_high:efx_asyncreg_70ac10c417bf46339876e239e3725f87(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +xefx_fifo_ram:efx_fifo_ram_70ac10c417bf46339876e239e3725f87(FAMILY="TITANIUM",WR_DEPTH=32,RD_DEPTH=32,WDATA_WIDTH=16,RDATA_WIDTH=16,WADDR_WIDTH=5,RADDR_WIDTH=5,OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
     +xefx_fifo_ctl:efx_fifo_ctl_70ac10c417bf46339876e239e3725f87(MODE="FWFT",WR_DEPTH=32,WADDR_WIDTH=5,RADDR_WIDTH=5,ALMOST_FLAG=0,PROG_FULL_ASSERT=4,PROG_FULL_NEGATE=4,PROG_EMPTY_NEGATE=2,HANDSHAKE_FLAG=0)	     18(18)	       0(0)	     18(18)	       5(5)	     0(0)	     0(0)	     0(0)	
   +u_RREQ_BUF:SYNC_DBUF_16x32_16x32                        	      20(0)	       0(0)	      18(0)	       5(0)	     0(0)	     1(0)	     0(0)	
    +u_efx_fifo_top:efx_fifo_top_70ac10c417bf46339876e239e3725f87_renamed_due_excessive_length_14	      20(0)	       0(0)	      18(0)	       5(0)	     0(0)	     1(0)	     0(0)	
     +genblk2.efx_resetsync_a_rst:efx_resetsync_70ac10c417bf46339876e239e3725f87(ACTIVE_LOW=0)	       2(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
      +active_high.efx_resetsync_active_high:efx_asyncreg_70ac10c417bf46339876e239e3725f87(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +xefx_fifo_ram:efx_fifo_ram_70ac10c417bf46339876e239e3725f87(FAMILY="TITANIUM",WR_DEPTH=32,RD_DEPTH=32,WDATA_WIDTH=16,RDATA_WIDTH=16,WADDR_WIDTH=5,RADDR_WIDTH=5,OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
