sep=\t
Module Resource Usage Distribution Estimates
Generated at: Oct 26, 2024 10:10:00

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
     +phase_u0:phase_shift_bc08b398162e498eaa40980c1f3d5cf6 	     11(11)	       0(0)	       0(0)	     12(12)	     0(0)	     0(0)	     0(0)	
 +u_rgb2dvi:rgb2dvi(ENABLE_OSERDES=0)                       	      45(0)	       0(0)	      81(0)	     116(0)	     0(0)	     0(0)	     0(0)	
  +enc_0:tmds_channel                                       	     15(15)	       0(0)	     27(27)	     36(36)	     0(0)	     0(0)	     0(0)	
  +enc_1:tmds_channel                                       	     15(15)	       0(0)	     27(27)	     40(40)	     0(0)	     0(0)	     0(0)	
  +enc_2:tmds_channel                                       	     15(15)	       0(0)	     27(27)	     40(40)	     0(0)	     0(0)	     0(0)	
 +u_lcd_driver:lcd_driver                                   	     26(26)	       0(0)	     22(22)	     69(69)	     0(0)	     0(0)	     0(0)	
 +u_KEY_BIG:KEY_CHECK(CLK_FRAC=148)                         	     28(28)	       0(0)	     23(23)	     14(14)	     0(0)	     0(0)	     0(0)	
 +u_KEY_SMALL:KEY_CHECK(CLK_FRAC=148)                       	     28(28)	       0(0)	     23(23)	     11(11)	     0(0)	     0(0)	     0(0)	
 +u_UART_IF:UART_IF(CLK_FRAC=1488,BAUD=500000,CHECK_BIT="none")	      52(0)	       0(0)	      20(0)	      25(0)	     0(0)	     0(0)	     0(0)	
  +u_UART_TX:UART_TX(CLK_FRAC=1488,BAUD=500000)             	     20(20)	       0(0)	     10(10)	       8(8)	     0(0)	     0(0)	     0(0)	
  +u_UART_RX:UART_RX(CLK_FRAC=1488,BAUD=500000)             	     32(32)	       0(0)	     10(10)	     17(17)	     0(0)	     0(0)	     0(0)	
 +u_UART_DATA_WCTL:UART_DATA_WCTL                           	    102(86)	       0(0)	     75(55)	     64(64)	     0(0)	     8(0)	     0(0)	
  +u_WBUF:SYNC_BBUF_32x256_128x64                           	      16(0)	       0(0)	      20(0)	       0(0)	     0(0)	     8(0)	     0(0)	
   +u_efx_fifo_top:efx_fifo_top_2c19a540c4674c5eb55c8246f0c3a2ee_renamed_due_excessive_length_4	      16(0)	       0(0)	      20(0)	       0(0)	     0(0)	     8(0)	     0(0)	
    +genblk2.efx_resetsync_a_rst:efx_resetsync_2c19a540c4674c5eb55c8246f0c3a2ee(ACTIVE_LOW=0)	       2(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +active_high.efx_resetsync_active_high:efx_asyncreg_2c19a540c4674c5eb55c8246f0c3a2ee(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
    +xefx_fifo_ram:efx_fifo_ram_2c19a540c4674c5eb55c8246f0c3a2ee(FAMILY="TITANIUM",WR_DEPTH=256,RD_DEPTH=64,WDATA_WIDTH=32,RDATA_WIDTH=128,WADDR_WIDTH=8,RADDR_WIDTH=6,OUTPUT_REG=0,ENDIANESS=1)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     8(8)	     0(0)	
    +xefx_fifo_ctl:efx_fifo_ctl_2c19a540c4674c5eb55c8246f0c3a2ee(MODE="FWFT",WR_DEPTH=256,WADDR_WIDTH=8,RADDR_WIDTH=6,ASYM_WIDTH_RATIO=6,RAM_MUX_RATIO=4,ALMOST_FLAG=0,PROG_FULL_ASSERT=4,PROG_FULL_NEGATE=4,PROG_EMPTY_NEGATE=2,HANDSHAKE_FLAG=0)	     14(14)	       0(0)	     20(20)	       0(0)	     0(0)	     0(0)	     0(0)	
 +u_IMG_RAM_TOP:IMG_RAM_TOP                                 	     552(0)	       0(0)	     181(0)	     204(0)	     0(0)	    39(0)	     2(0)	
  +u_IMG_H_RAM:IMG_H_RAM                                    	   136(136)	       0(0)	     86(86)	   100(100)	     0(0)	     4(0)	     2(2)	
   +u_BRAM_16x2048:BRAM_16x2048                             	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
    +u_efx_bram:efx_bram_c6ad06d4bb2e4a35bdb0888be3176e40_renamed_due_excessive_length_5	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
     +genblk1.sdpram_inst:efx_simple_dual_port_ram_c6ad06d4bb2e4a35bdb0888be3176e40_renamed_due_excessive_length_6	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
      +brams:bram_wrapper_mwm_c6ad06d4bb2e4a35bdb0888be3176e40_renamed_due_excessive_length_7	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
       +scan_row.row[0].column[0].bram:bram_primitive_c6ad06d4bb2e4a35bdb0888be3176e40(WRITE_WIDTH=5,WCLK_POLARITY=1,WCLKE_POLARITY=1,WE_POLARITY=1,READ_WIDTH=5,RCLK_POLARITY=1,RE_POLARITY=1,OUTPUT_REG=0,RST_POLARITY=1,WADDREN_POLARITY=1,RADDREN_POLARITY=1)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
       +scan_row.row[0].column[1].bram:bram_primitive_c6ad06d4bb2e4a35bdb0888be3176e40(WRITE_WIDTH=5,WCLK_POLARITY=1,WCLKE_POLARITY=1,WE_POLARITY=1,READ_WIDTH=5,RCLK_POLARITY=1,RE_POLARITY=1,OUTPUT_REG=0,RST_POLARITY=1,WADDREN_POLARITY=1,RADDREN_POLARITY=1,ini_index=1)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
       +scan_row.row[0].column[2].bram:bram_primitive_c6ad06d4bb2e4a35bdb0888be3176e40(WRITE_WIDTH=5,WCLK_POLARITY=1,WCLKE_POLARITY=1,WE_POLARITY=1,READ_WIDTH=5,RCLK_POLARITY=1,RE_POLARITY=1,OUTPUT_REG=0,RST_POLARITY=1,WADDREN_POLARITY=1,RADDREN_POLARITY=1,ini_index=2)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
       +scan_row.row[0].column[3].bram:bram_primitive_c6ad06d4bb2e4a35bdb0888be3176e40(WRITE_WIDTH=5,WCLK_POLARITY=1,WCLKE_POLARITY=1,WE_POLARITY=1,READ_WIDTH=5,RCLK_POLARITY=1,RE_POLARITY=1,OUTPUT_REG=0,RST_POLARITY=1,WADDREN_POLARITY=1,RADDREN_POLARITY=1,ini_index=3)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
  +u_IMG_RCTL:IMG_RCTL                                      	    118(58)	       0(0)	     66(19)	     70(40)	     0(0)	     3(0)	     0(0)	
   +u_FIX_H_BUF:SYNC_DBUF_16x32_16x32                       	      20(0)	       0(0)	      18(0)	       6(0)	     0(0)	     1(0)	     0(0)	
    +u_efx_fifo_top:efx_fifo_top_70ac10c417bf46339876e239e3725f87_renamed_due_excessive_length_8	      20(0)	       0(0)	      18(0)	       6(0)	     0(0)	     1(0)	     0(0)	
     +genblk2.efx_resetsync_a_rst:efx_resetsync_70ac10c417bf46339876e239e3725f87(ACTIVE_LOW=0)	       2(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
      +active_high.efx_resetsync_active_high:efx_asyncreg_70ac10c417bf46339876e239e3725f87(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +xefx_fifo_ram:efx_fifo_ram_70ac10c417bf46339876e239e3725f87(FAMILY="TITANIUM",WR_DEPTH=32,RD_DEPTH=32,WDATA_WIDTH=16,RDATA_WIDTH=16,WADDR_WIDTH=5,RADDR_WIDTH=5,OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     1(1)	     0(0)	
