sep=\t
Module Resource Usage Distribution Estimates
Generated at: Oct 26, 2024 10:09:40

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
  +GEN_PROBE[34].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[35].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b0101,PIPE=1)	     13(13)	       0(0)	       0(0)	     16(16)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[36].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b0101,PIPE=1)	     13(13)	       0(0)	       0(0)	     17(17)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[37].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b0101,PIPE=1)	     13(13)	       0(0)	       0(0)	     18(18)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[38].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b0101,PIPE=1)	     13(13)	       0(0)	       0(0)	     18(18)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[39].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b0101,PIPE=1)	     13(13)	       0(0)	       0(0)	     18(18)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[40].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01011,PIPE=1)	     25(25)	       0(0)	       0(0)	     35(35)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[41].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01011,PIPE=1)	     25(25)	       0(0)	       0(0)	     36(36)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[42].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01001,PIPE=1)	     21(21)	       0(0)	       0(0)	     29(29)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[43].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01010,PIPE=1)	     23(23)	       0(0)	       0(0)	     32(32)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[44].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01010,PIPE=1)	     23(23)	       0(0)	       0(0)	     31(31)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[45].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b0100,PIPE=1)	     11(11)	       0(0)	       0(0)	     15(15)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[46].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	       0(0)	     10(10)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[47].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01011,PIPE=1)	     25(25)	       0(0)	       0(0)	     36(36)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[48].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01011,PIPE=1)	     25(25)	       0(0)	       0(0)	     35(35)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[49].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b010000,PIPE=1)	     35(35)	       0(0)	       0(0)	     48(48)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[50].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[51].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b011,PIPE=1)	       9(9)	       0(0)	       0(0)	     14(14)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[52].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b011000,PIPE=1)	     51(51)	       0(0)	       0(0)	     77(77)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[53].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[54].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       8(8)	       0(0)	       0(0)	     11(11)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[55].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b0100,PIPE=1)	     11(11)	       0(0)	       0(0)	     15(15)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[56].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b0100000,PIPE=1)	     67(67)	       0(0)	       0(0)	     96(96)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[57].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	       0(0)	     27(27)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[58].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	       0(0)	     27(27)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[59].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	       0(0)	     27(27)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[60].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	       0(0)	     26(26)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[61].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b011,PIPE=1)	       9(9)	       0(0)	       0(0)	     14(14)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[62].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	       0(0)	     26(26)	     0(0)	     0(0)	     0(0)	
  +trigger_tu:trigger_unit(WIDTH=32'b01010100,PIPE=1)       	       1(1)	       0(0)	       0(0)	       4(4)	     0(0)	     0(0)	     0(0)	
  +la_biu_inst:la_biu(CAPTURE_WIDTH=32'b01001000011)        	    172(97)	     579(0)	      47(0)	  1148(490)	     0(0)	    58(0)	     0(0)	
   +fifo_with_read_inst:fifo_with_read(DATA_WIDTH=32'b01001000100)	     75(55)	   579(579)	     47(47)	    658(53)	     0(0)	    58(0)	     0(0)	
    +transcode_write_addr:fifo_address_trancode_unit        	     10(10)	       0(0)	       0(0)	     15(15)	     0(0)	     0(0)	     0(0)	
    +transcode_read_addr:fifo_address_trancode_unit         	     10(10)	       0(0)	       0(0)	     11(11)	     0(0)	     0(0)	     0(0)	
    +simple_dual_port_ram_inst:edb_simple_dual_port_ram(DATA_WIDTH=32'b01001000100,ADDR_WIDTH=10,RAM_INIT_FILE="")	       0(0)	       0(0)	       0(0)	   579(579)	     0(0)	   58(58)	     0(0)	
 +debug_hub_inst:debug_hub                                  	     86(86)	       0(0)	       0(0)	     39(39)	     0(0)	     0(0)	     0(0)	
